ZIPCode;Latitude;Longitude
420 37;39.47344;21.32769
420 33;39.36761;21.32578
423 00;39.60481;21.9761
420 32;39.45971;21.61172
421 00;39.56162;21.76001
420 31;39.62522;22.07148
290 91;37.87486;20.6582
291 00;37.78288;20.89778
290 90;37.82992;20.75683
290 92;37.75875;20.80959
490 82;39.19562;20.18734
490 81;39.76577;19.7175
490 84;39.52389;19.87823
491 00;39.6193;19.91959
490 80;41.02307;26.1968
490 83;39.69801;19.77444
491 83;39.69801;19.77444
280 81;38.2772;20.61491
281 00;38.19995;20.54538
283 00;38.36312;20.71799
282 00;38.20179;20.43874
280 86;38.12457;20.73609
280 80;38.25201;20.64877
283 01;38.36312;20.71799
280 84;38.45989;20.57597
310 83;38.65529;20.77915
310 82;39.63954;21.70593
310 81;38.62187;20.90894
310 80;38.75207;20.6623
311 00;38.70665;20.64073
593 00;40.62868;22.45108
591 00;40.52606;22.203
590 34;40.6762;22.22648
590 35;40.63698;22.14067
590 33;40.67269;21.26213
590 31;40.52023;22.39586
592 00;40.61056;22.02379
590 32;39.85256;25.06714
570 03;39.71638;19.68047
546 36;40.6288;22.96695
554 38;40.63691;22.96843
561 21;40.65487;22.91929
561 23;40.67524;22.91184
570 10;39.62479;20.77746
570 16;40.75574;23.37931
570 21;40.71861;23.70943
570 06;40.47943;23.13594
570 08;40.68747;22.85859
563 34;40.67237;22.89099
575 00;40.42547;22.92866
564 29;40.69415;22.9595
562 24;40.6875;22.87013
564 31;40.66848;22.93269
570 12;40.57663;23.3109
570 01;40.54696;23.01967
540 15;40.63935;22.94461
542 48;40.59872;22.96099
542 49;40.59747;22.96695
542 50;40.60105;22.9729
543 51;40.61729;22.97588
543 52;40.61408;22.98258
544 53;40.61193;22.96695
544 54;40.61006;22.97588
545 00;40.75613;22.87013
546 21;40.62888;22.95503
546 22;40.62999;22.94684
546 23;40.63303;22.94386
546 24;40.63396;22.93939
546 25;40.63579;22.9379
546 26;40.63762;22.93343
546 27;40.64331;22.91482
546 28;40.64951;22.91109
546 29;40.64315;22.93865
546 30;40.6409;22.93939
546 31;40.63753;22.94535
546 32;40.64449;22.94163
546 33;40.64217;22.94907
546 34;40.63941;22.95652
546 35;40.63432;22.95205
546 36;40.6288;22.96695
546 38;40.62219;22.96397
546 39;40.618;22.96099
546 40;40.61925;22.95503
546 41;40.61367;22.95578
546 42;40.61064;22.95875
546 43;40.6072;22.95503
546 44;40.60774;22.96397
546 45;40.60224;22.9528
546 46;40.59756;22.95503
546 55;40.59274;22.95503
564 04;40.63935;22.94461
551 31;40.58557;22.94535
551 32;40.57854;22.9595
551 33;40.5847;22.9595
551 34;40.57939;22.96843
570 09;40.64556;22.8463
571 00;40.7784;22.57759
576 00;40.60413;22.69734
572 00;40.7709;23.12033
570 20;40.63585;23.24685
570 18;40.76042;22.94163
546 28;40.6587;22.91014
561 22;40.6587;22.91014
570 15;40.63381;23.43919
570 04;40.44335;22.86566
567 27;40.65265;22.9379
567 28;40.65278;22.93865
570 17;40.92745;23.17735
552 36;40.59743;23.0309
570 19;40.50181;22.9172
564 29;40.66332;22.94467
565 32;40.66332;22.94467
565 33;40.66332;22.94467
555 35;40.59979;22.9859
570 22;40.67046;22.80405
574 00;40.67046;22.80405
570 02;40.83544;23.35854
570 14;40.66919;23.59666
564 29;40.69415;22.9595
564 30;40.67779;22.93343
564 31;40.66848;22.93269
566 25;40.65136;22.96843
566 26;40.65141;22.96471
553 37;40.62402;22.97313
573 00;40.62757;22.73331
570 07;40.68772;22.59603
570 13;40.70769;22.9178
614 00;40.9854;22.54046
613 00;40.95295;22.46515
610 07;40.89472;22.55995
611 00;41.01695;22.95354
612 00;40.99788;22.5709
610 01;41.08;22.7782
610 03;41.2623;22.84146
610 02;41.08877;22.77829
584 00;40.9753;22.06276
580 02;40.80304;21.84036
581 00;40.7931;22.4115
